Author,Comment,Guesses
Andy ?Da7thSon? Lord,"lee think is 168 pounds<comma> rob 196 and bea 238.. total 602 punds?",602
FrankieCOVERSmusic,"670.6 pounds all together. Hope this competition doesn't offend you guys xD?",670
Giorgio Gandolfo,"643 pounds?",643
HalcyonDraconis7,"683lbs total is my guess.?",683
sanderhauge99,"Lee: 181 lb<comma> Chappers: 212 lb and Bea: 253 lb. \nCombined that is 646 lb?",646
Rafail Panagiotopoulos,"590 pounds?",590
Calum Delaney,"599<comma>5 lbs?",599
Tondo van Rest,"643<comma>2 lb?",643
Cha-El,"617lbs?",617
A Lone Boat,"650 lbs?",650
Callum Schalch,"612 pounds?",612
Petr Lacina,"670.205277 pounds :-)?",670
Jack Wood,"630lb?",630
Phil Zenz,"631.4 pounds?",631
vladjames2000,"651  pounds\nLee=175\nRob= 235\nBea=241?",651
Jasper Hemelsoet,"641 pounds?",641
fix6661,"584 pounds?",584
Alexandre Nguyen,"636 pounds is my guess!?",636
westofreaches,"I'd say it's 700 pounds.?",700
Alastair Pryor,"642 pounds?",642
Jackson Leiter,"736 Ibs total?",736
Matt Mosch,"700 pounds?",700
Robert Coote,"607.5 lbs?",607
ScopedDawg,"You guys definitely combine  a grand total of 639 pounds?",639
Guglielmo moggio,"473 pounds?",473
coleydb,"717 pounds?",717
Alex Beevers,"588 pounds?",588
Boy from the Crowd,"Lee =  171.96\nRob  = 189.60\nBea =  264.55\nTotal = 643.75?",643
Gideon Jaape,"590<comma>839 great video btw!?",590
Kyle Wiggins Art,"775?",775
Lucas Panizza,"640 pounds?",640
Jete Oyttenmaa,"610 pounds?",610
Nicholas M (nmrecording),"nine hundred<comma> sixty five dollars?",
ZW Haze,"My guess is 666 pounds<comma> may the number of the beast guide me because I've not got a fucking clue what a pounds is except a coin with the queens head on it.?",666
stelioslad90,"I say 598 lbs?",598
mikeywck,"668 pounds?",668
Vercz10,"648 pounds?",648
KraZi Kreature,"Total pounds=672.4?",672
Blaz Pogacnik,"I think Lee's 155 pounds<comma> Rob's 187 pounds and Rabea's 242 pounds so all of you together would probably be around 584 pounds?",584
Nicholas Dentato,"weight is<comma> 666 pounds?",666
Harold Flecha,"660 pounds.?",660
james M,"Lee 155<comma> Rob 203<comma> Bea 244<comma> so 602 total?",602
Tranzor,"Rob 231<comma> Lee 189<comma> Bea 285 - Total = 705 pounds?",705
Henry Bellit,"My guess is 566<comma>6 pounds :)?",566
mondoeamon360,"631.34 pounds?",631
Islandsoundzz,"670 pounds?",670
At0micSilenCe,"661 Pounds of Awesomeness?",661
Lukian The Better Brother Adams,"627 Pounds?",627
Ren? Petersen,"637 lbs?",637
Andy Thomas (mrblitz),"cpt=170 chappers=230 bea=280: 680 lbs?",680
Simon b,"617<comma>73526 pounds?",617
Benny Schwarz,"I'm going for 615<comma>144 Pounds.\n(Hoping this contest is open for Luxembourg as well)\nGreat Videos ;-)?",615
Preston Gigante,"656 lbs. I'm hopeful?",656
Nicholas Dentato,"Lee Lee King! \nBlue waffle!!!! I know EXACTLY what you mean ????",
John Jett Torres,"621 pounds.....  Just came in to my head.....?",621
Emanuel Lindstr?m,"I guess 621<comma>5 pounds.?",621
GamingZackie,"i recon rob is about 18 stone / 252 pounds lee seems hes about my weight which is 13 stone / 182 pounds and bea i recon is about 21 stone ( OF PURE MUSCLE & AFRO) / 294 pounds?",
Jasper Govaerts,"I'll go for 616 lbs?",616
Tone Pimp1,"Lee =0 poundsRob=1 poundrabea = 631 Pounds = 632 pounds?",631
Antoine BAUDE,"Let say : 596 Pounds !?",596
Michael Dubbelt,"I reckon it's 627<comma>5 pounds?",627
Grantburgh1,"720.192 lbs?",720
Agus Bentlage,"518 pounds?",518
Tom Fifoot,"616lbs?",616
tuuli joepera,"618 lbs?",618
Marco Romo,"667 pounds?",667
Sam Kinet,"639 lbs  :)?",639
Andrew Lock,"375?",
Chris Clark,"735 lbs combined weight?",735
Emma Maguire,"570 pounds?",570
Josh Brumpton,"Combined = 618lbs?",618
KILL A. YOSHIKAGE,"632 Total?",632
aph365,"657 lbs?",657
Daan Slingerland,"601.8 pounds?",601
Jack Knights,"693 pounds?",693
joshua wallace,"My guess is 630lbs?",630
Matteo Bertozzi,"My guess is 591lbs\n:D?",591
James Lewis Hamilton,"Maybe 702lbs??",702
Mike Wentz,"Lee is probably around 180lbs<comma> Rob is 210lbs<comma> and Robea is 290lbs<comma> so 680lbs for all three.?",680
thisdyingsoul76,"I'm going to guess Cap= 170<comma> Chap = 210<comma> Bea= 240<comma> total = 570 lbs. I hope this contest is open to Canada too. ??",570
Ksun P,"Around 635 lbs?",635
Bas Vdv,"643 Pounds?",643
Timo J,"Great pedals and nice video!!!?",
TheGuitarGuy11,"Ooh! That was a clean grab.?",
Zed Zippon,"I'm thinking 667 lbs?",667
finparkour,"Everything Captain plays sounds very Opethy! Nice. And Rob's guitar is awesome.?",
The Pick,"I'm gonna say... 673 lbs?",673
DerEchteBold,"683<comma>6 lbs?",683
ramirez085,"666.60 pounds?",666
John Sen Cummings,"596 pounds?",596
megasteve90,"714 lbs?",714
Rasmus S. J?rgensen,"639.3405603365001 lbs. Approximately.?",639
Mico Ferrer,"732 lbs?",732
squatdidley,"617lbs?",617
Dane Kelley,"lee=154 lb Chappers= 223 lb Bea= 256 lb total =833 ( i think) lb?",833
StewNPG,"652 lb?",652
McCoy Dean,"I'm guessing rob is about 186 lbs<comma> cap is 158<comma> and Bea is 210 for a total of 554 pounds of musical talent.?",554
Michael Masin,"672lbs all toghether?",672
Peter Corfield,"I'm gonna say 295kg<comma> that is 650.35 lbs<comma> roughly. My shoddy guess.?",650
Timo J,"Lee 196 pounds<comma> Rob 231 pounds<comma> Rabea 265 pounds = 692 pounds?",692
Lucas Andersen,"558 pounds?",558
PepijnM,"582 pounds?",582
sam ingram,"Lee 179lb<comma> Rob 243lb<comma> Afrozilla 302Lb that's 724lb?",724
Vlad Kryvoruchko,"565 p lol?",565
Insanity,"I'm going to guess the combined weight is 625lbs.?",625
9fortunateson,"595 lbs?",595
Mohammed Nuru,"643.5lbs. Gotta get that .5 in there.........For the win!!?",643
Michael ?Mick? Lee,"650 lbs?",650
abarenbou,"620 pounds?",620
James Hamilton,"I'm gonna go for 609 lbs?",609
OlePistolCooperation,"634 lbs?",634
Art?r Heiczman,"627 lbs?",627
Arthur Stone,"630 lbs\n...or 158 pies.?",630
adriangrizzly,"R 91kg\nL 69kg\nR 115kg\n= 275 kg -> 606<comma>271 Pounds?",606
Pierpi Reddy,"614<comma>2 pounds?",614
dionisiogdrb,"My guess is 617<comma>77 pounds!?",617
rubble400,"561 pounds for sure man<comma> no doubt about it?",561
Sage Frank,"Lee-168.21 Rob-196.21 Bea-230.82\nAdding it up = 595.24\nHope it is not an over exaggeration\nCheers?",595
MHSlypher1,"Gonna say 581lbs.?",581
AlexSupertr4mp1,"Rob - 231\nLee - 189\nBea - 275\n\nTotal - 695 lbs?",695
Gabriel Acosta,"my guess: 680 pounds?",680
aiden fowkes,"I?m gonna guess at a combined weight total of: 705 pounds?",705
AquaHulK MUSIC,"681 Pounds.?",681
Ty Golden-Duval,"680 lbs?",680
Scott Dolan,"609lbs?",609
ng jason,"i think maybe 690 pounds?",690
the artist formally known as craig lastname,"730 pounds?",730
Callum S,"combined?= 532 lbslee = 140 lbsrob = 210 lbsbea = 252 lbs?",532
paul smith,"642 lbs Total Guess as I don't know what you had for breakfast!?",642
Alex Alexandrov,"687<comma>8 pounds?",687
Ewan Robinson,"My guess is 686lbs?",686
Himoshi,"694 pounds?",694
Anonymous Chap,"shot in the dark 560 pounds combined... I think...?",560
contaro1337,"645<comma>9 total pounds?",645
gurg06,"674 pounds!?",674
Benjamin Palmero,"Let's say 642 lbs?",642
Real Festus,"648 lb?",648
thomas lopez,"731 lbs?",731
Brandon Castillo,"608 lbs?",608
Callum Kennedy (Tuberz McGee),"Captain Falcon: 154lbs (75kg)<comma> Chapperoni: 209lbs (95kg)<comma> Rabea Grylls: 243lbs (110kgs)\nTotal: 606lbs (275kgs) \n\nPs d00ds<comma> the editing on this video had me in stitches. Absolutely brilliant. <3?",606
Jack JD,"599<comma>65 pounds...I think. Sorry if I gave you too much weight guys.?",599
Alan Stokes,"Lee 185<comma> Chappers 230 and Bea 245. total of  660lbs.?",660
mistereddy,"6 foot one<comma> tons of fun and a big c*nt xD\n\nRob 88kg\nLee 76k\nRabea 106kg\n270kg = 595 lbs\n\nso collective weight 595 lbs?",595
48thRonin,"640lbs.?",640
TheOneEyedBee,"my guess is 589 lbs?",589
karl hamilton,"I reakon 645lbs?",645
Jake Bailes,"Id say around 672lbs all in all!?",672
Cookie - ????????,"About 586 pounds for all! ))?",586
Samir El Kadmiri Aggairi,"i guess 672 pounds?",672
JamieRuinsEverything,"645 Pounds I reckon?",645
Tim D'Hondt,"595<comma>248108 pounds combined?",595
Du?an ?inka,"656<comma>98 pounds?",656
Maximilian Mawdsley,"599 pounds combined?",599
Techno4yourhead,"Rob 182<comma> Bea 196<comma> Lee 154\n\nTotal = 532?",532
Maxu88,"611 lbs?",611
Henry Ball,"Lee 12st<comma> Rob 15st<comma> Rabea 17st = 616 pounds in all!?",616
Steven Foy,"The combined total = 602 lbs\n\nIn the unlikely event that I do win<comma> can all three of you take turns at signing my box please? ;)?",602
InnaSoulSounds,"694 lbs is moi guess.?",694
exotic69,"My guess is 623.908 lbs (283Kg)?",623
Jonathan Boyd-Bell,"My guess is 635 pounds. Thanks for all the great videos.?",635
Diogo Leit?o,"Combined total of 615 pounds. Great video guys! ;)?",615
alex ergen,"let's make it 542 pounds! !?",542
Ethan Danish Joseph (Danish Kashmiri),"639 pounds    :D?",639
Dan K memes,"618.9 lbs?",618
Carson Mooney,"600lbs?",600
Miguel Fernandes,"556 Pounds.?",556
raythetechguy1,"731 lbs.?",731
One Shot For Money,"639lb?",639
kel townsend,"689 lbs.?",689
Cat Vomit,"620 lbs?",620
Musical Gluttony,"600 lbs. combined?",600
Jack Tinsley,"Lee = 166.2 Pounds\nRob = 217.8 Pounds\nBea = 240.5 Pounds\n\nTotal = 505.9 Pounds?",505
mikesdragongaming,"682 pounds for all of ya?",682
Owen Hu,"575 lbs?",575
Jack Tinsley,"Lee = 166.2 Pounds\nRob = 217.8 Pounds\nBea = 240.5 Pounds\n\nTotal = 505.9 Pounds?",505
Julien dr,"i estimate that to 632 lbs?",632
Jimmy Schambeck,"I guess about 550 Pounds!?",550
lunchie83,"Lee 170<comma> rob 240<comma> bea 300?",
Frank Ben,"cap 75 kg<comma> rob 94kgs<comma> bea 112 = 281kgs = 619.5 lbs?",619
Joe Oliver,"736lbs?\n\nAlso<comma> the editing on this was bloody hilarious. OOOOOOOH!?",736
Al Kar,"hello from greece! my guess is that you are 996<comma>49 pounds!?",996
Andrew Lacek,"610 lbs?",610
Harrison Borts,"707 pounds?",707
Luke Hartmann,"My guess is 679 pounds.?",679
ItCanAlwaysBeLouder,"645.95 lbs?",645
Giulio Imparato,"617.2 pounds total is my guess?",617
George Neath,"Tricky but i'm going to go with 604 lbs?",604
OpTicDragon,"Lee 159<comma>732 pound Rob 182<comma>983 pounds Bea 246<comma>917 pounds =589<comma>632 pounds?",732
IkBenSuperLief,"670.205277 lbs?",670
Jordan,"I'm thinking it's probably around 775lbs total?",775
HennersTINJ,"741lbs?",741
Ka1hal,"Lee: 171 lbs\nRob: 203 lbs\nBea: 238 lbs\n\nTotal: 612 lbs?",612
icezydrift,"738.549  pounds?",738
SoloMission,"Total- 498?",498
Jack Silver,"okay i think Lee is 185<comma> Rob is 220 and Bea is 270<comma> totaling 675 pounds<comma> or one Fender Super Twin haha.?",675
Kieron Dilley,"614lbs ??",614
Mezurashii5,"R 235 lb \nL 175 lb \nB 280 lb\nTotal: 690 lb?",690
Francisco Pinheiro,"606.43 pounds in total ;)?",606
vakavanha,"630<comma>52207 pounds.?",630
AlienFermentationLab,"Let's just go with 666lbs for the sake of it. \m/?",666
Lagenberg,"~709 pounds = 322kg?",709
Nathan D,"Lee: 169.420\nRob: 222.666\nBea: 270\n\nTotal: 662.086?",420
Tyler McDavid,"Lee<comma> 185 pounds<comma> Rob<comma> 228 pounds<comma> Rabea<comma> 287 pounds. 700 pounds.?",700
Kawnursuf,"631lbs?",631
Ivan Bailey,"628?",628
Jayven Roman,"620 lbs?",620
Clem Edwards,"After much contemplation... Im guessing 635.6 lb !?",635
MrMakc2,"639.341 pounds \nexactly?",639
Dimitur Dimitrov,"Combined - 649 lbs\nLee -176 lbs\nChappers - 209 lbs\nBea - 264 lbs?",649
Jimmy Daniell,"648 lbs?",648
Nick Leech,"573lbs?",573
Reece LeClair,"623lbs?",623
pearloidstrat,"637 pounds.?",637
Tobias Christensen,"would answer 42... but gotta go with 637<comma>863463 pounds?",637
Hadi 11,"About 643<comma>75 pounds?",643
Kevin Call,"629.5 pounds?",629
Mathis Purrotat,"i guess 813 pounds?",813
Jonathan Herrera,"675?",675
cgraugaard,"696<comma>6 lbs?",696
Anton Huschka,"My guess is 632 lbs. \nThanks from Germany for your entertaining videos! :)?",632
dr potato,"608lbs?",608
P?k H?kusz,"<a href="http://www.youtube.com/watch?v=FOw7ViIp25A&t=6m10s">6:10</a> Troll Bea xDD \n\nI guess Lee is 74 kg<comma> Rob is 92 kg<comma> Bea is 128 kbg\n\nWhich means 648 pounds \nBtw great vid<comma> keep it up! :)?",648
Andy ?Da7thSon? Lord,"i really don't want to sound negative.. but is this going to be another competition that we don't here the results of.. I'm thinking about the MEME competition that happening about 6 months ago that nothing was ever announced about.?",
King Crap,"Lee: 170<comma> Rob: 230<comma> Bea: 275<comma> TOTAL: 675?",675
Andy Barker,"Gonna go with 666 lbs?",666
yaniv blau,"My guess measured in kg:\n62-lee\n84- rob\n91- bea\n62+84+91=237 kg\n237 kg is 522.22 pounds. \nSo my guess is 522.49 pound.?",522
brengel dela cruz,"612 pounds?",612
Nathan Sharman,"555 pounds?",555
Dom Whiffen,"619 lbs?",619
Andrew Miller,"652 pounds?",652
NuclearLaunchDetect,"709 lbs?",709
Robert Jova,"649 lbs. Not saying who is what.. thx guys?",649
neun Arme,"I'd say 606lb.?",606
Sinsack,"How dale you make fun of da chinese. Unsubsclibed<comma> you LACISTS!?",
Ben Preston,"590lbs is my guess?",590
Super_Guitar_Dude,"Let's see<comma>\n82/93/121 KG\n\n296 kg = 651.2 lbs <--\n\nI love the blindfold vids! :) thanks guys?",651
PelufoRed,"Total: 614<comma>21lbs\n\nLee: 179<comma>75 lbs \nRob: 204 lbs\nBea:  230<comma>46 lbs?",614
Simon Robinson (SimonNZ91),"646 pounds all up?",646
ShabyPete,"304 kg  or in pounds 670?",670
Ian Orchardson,"649lbs total?",649
Gerardo Zinno,"635 pounds?",635
Metabohai,"Lee 182 lb + Rob 198 lb + Bea 224 lb = 604 pounds?",604
DekhruelBass,"365 pounds!?",
BASTIEN747,"how about 628<comma>317 lbs ? also love your channel and videos!!!!!!! HI to everybody in working at/with Andertons and Chapman guitars :)?",628
Ed Berg,"Lee: 176lbs<comma> Rob: 209lbs<comma> Bea: 244\nTotal: 629lbs?",629
ThatGuyCrawlyz,"Lee= 76kg\nRob= 86kg\nBea= 104kg\nCOMBINED = 266kg! :D please convert to Pounds if neccesary?",
Chris Udell,"636lbs?",636
Ellard Hoekstra,"I'm guessing 705<comma>5 lbs?",705
Soumak Basak,"rob is 231 lbs\ncaptain is 187 lbs\nrabea is 253 lbs \nso a total of 691 lbs?",691
Raphael Coronel,"550lbs?",550
Gregory Hunt,"415 lbs?",415
Josh LI,"i guess 536.584 lbs?",536
Diogo Recharte,"616 pounds?",616
Sam Ward,"742?",742
Ben Patrick,"661 pounds between the lot of you?",661
Deiniol Lewis,"Captain: 196 lbs<comma> Rob: 224 lbs<comma> Bea: 252 lbs<comma> Total: 672 lbs?",672
Ben Koelle,"590?",590
ImmortalJeremy,"690 pounds. Still less than my mum?",690
Catherine Faulkner,"650lbs?",650
Adam Domagalski,"Capt. 176<comma> Rob 216<comma> Bea 264 = 656lb?",656
Ian Bennett,"689 lbs!!!!?",689
David Kaiser,"My guess: 661 pounds?",661
Kozzy,"That will be 750 pound in total<comma> bring it on :)?",750
Mezurashii5,"I'd definetely win if the contest was in kilograms.?",
Luca Moqi,"I'd say 623 pounds :)?",623
Toms Ja??evics (BBAxel),"773.3\n pounds?",773
Zieglers666,"596<comma>4 lbs.?",596
Cl?udio Lan?a,"I'm guessing Rob is 187 pounds<comma> Bea is 201 pounds and The Cap is 154 pounds<comma> bringing it to a total of... 542 POUNDS OF HEAVY MUSIC?",542
Pete L,"653 lbs.?",653
Calvin Davey,"I'm gonna go with 596lbs?",596
Pete L,"653 lbs.?",653
TheNubis99,"Rob about 90kg Lee about 70kg and Bea about 120kg I guess so about 617.294334 pounds<comma> yes the numbers behind the comma are necessary.?",617
Kyle Cosentino,"694 lbs total?",694
Andreas Davour,"I guess 610<comma>68 pounds.?",610
Joseph  Markovic ,"591 lbs rounded up?",591
pedro cardoso,"i Recon its around 605 pounds in total?",605
Philipp Steinberger,"id say 624<comma>12 lbs?",624
Callum Hastie,"My guess is 578lbs :-)?",578
GraphPaperCalum,"Lets go with 661.3lbs because who doesn't love decimals?",661
Matt W,"Ok<comma> my guess is 580 pounds :)?",580
G?bor Mata,"630 pounds!?",630
Ginger Lefty,"742 lbs?",742
Matthew Doyle,"590 pounds!! 590!!?",590
DanielKB,"641 Pounds?",641
Marek Sal?t,"49.1315899 stones = 687.842258 pounds = 312 kg?",589
Dan Nye,"632.7 pounds!!!?",632
Max Cargill,"602lbs collectively. Such a spicey challenge<comma> love it.?",602
Josh Mullin,"622 pounds?",622
Lachie Tenace,"592 lbs :)?",592
Bert Colling,"644<comma>6 pounds?",644
Jon Briggs,"617.3 lb?",617
Darren Wood,"638 pounds?",638
Brendan Statham,"727 pounds?",727
Andy Crane,"My guess is 634.8lbs!?",634
Rommel Parungao,"640 lbs.?",640
Daniel Clark,"Rob - 193lbs<comma> Lee - 160lbs<comma> Bea - 235lbs = 583lbs.?",583
Alexander Love,"621.6lbs\nMuch precision. I hope...?",621
mikdu1,"my guess is 552lbs! gimme dem pedals!?",552
dragon007j,"I guess 622 pounds you hefty heffers!?",622
Wall OfNoise,"man those pedalboards look like poker chip cases?",
Marija Veselinovic,"623?",623
Andrew Brown,"I'm gonna guess 595.8 POUNDS :D?",595
Metalfreaken,"My guess is at 599.7 lb?",599
laugh it up fuzzball,"589 pounds?",589
Rasputin's Beard,"606 lbs.....aww yeah?",606
nugems 600,"528?",528
Miguel Bastos,"580 lbs?",580
00xanawolf00,"684 total pounds. Lee 170<comma> Rob 232<comma> and the giant shred machine at 282.?",684
rnfnr bt,"hmmmmmmmmmmmmm  615.09 pounds i guess?",615
Solason,"I guess 720Ibs?",720
Masake1,"Let's say 602 lbs !?",602
Monomo Brebal,"Rob = 105kg Lee = 86kg Bea = 118 kg total = 309kg?",
Maxime Collins,"i claim 564.39 pounds !?",564
Oswald Cobblepot,"646 pounds?",646
Dean Pradeva,"Total= 290kg or 639 pounds\nRob=95\nCap=70\nBea=125?",639
Ahhad Mukhtar,"690 pounds altogether?",690
Jos? Mar?a Martin-Romo Pe?a,"648.15 pounds?",648
Solomon Van Felch,"Lee:80kg      Rob: 91kg     Rabea: 98kg \nTotal Poundage = 593lbs?",593
Jaatavvaa,"674 lbs?",674
AlmightyCorkz,"609lbs?",609
Antoine Lepan,"My name is Brian Mooer and i guess a total 593 lbs of awesomeness ! :)?",593
Matthew Guy Pearce,"658 pounds and seriously lay off the sweet treats guys!!?",658
Dan O'Flaherty,"603lbs?",603
Matej Zak,"I think 620lbs total!?",620
Karel,"661 pounds?",661
Alex Burnham,"Captain (184 lbs) + Rob (205 lbs) + Bea (277 lbs) = 666 lbs?",666
Stuart Hume,"I would guess 645lb?",645
Linas J.,"My guess is 640lbs. Surely was hard to find a kilos to pounds converter lol.?",640
The Tarasenkshow,"650lbs?",650
Shlok Parida,"Combined weight: 606.271 pounds?",606
james garside,"612 lbs although i'd prefer to come second!?",612
Dillon Scott,"Lee I will say is 145lbs + Rob I'll say is 235lbs + Rabea I'll say is 270<comma> so that makes a total of 650lbs or 294.835kg..?",650
yankeesclippers,"I'll take a shot at it and guess 665 lbs.?",665
StarKickersUK,"271kg and I will preserve some of your dignity by not declaring individual weights lol?",
Biffen1812,"Rob - 224 lbs\nLee - 147 lbs\nBeezil - 280 lbs\n\nSo 651 lbs total.\n\nP.S I am sincerely sorry if this is insanely off ??",651
Satan6455,"Gonna go with 526.9lbs?",526
Nikolay Bugatti,"Lee 154 + Rob 187 + Bea 242 = 583 pounds?",583
ad1170,"189 Ib/13.5 stone for Lee\n231 Ib/16.5 stone for Rob\n280 Ib for raves\n\n710 Ib altogether?",710
xThomas68,"I'm going for a solid 624 pounds!?",624
Avangor (Avangor),"My guess is 598 lbs?",598
Pedro Rates,"658.72 pounds?",658
Nick Webb,"644 pounds between the 3 of you. Great competition lads!?",644
LiamPlaysGame,"504 lbs?",504
Calum Stout,"582.179 pounds<comma> and could you sign it when i win? ??",582
Hey Arnold,"628<comma>32 lbs?",628
Shuman Sharman,"I'm gonna say 639 pounds?",639
JJadande,"643 pounds?",643
Rexx Silence,"Rob 231<comma> Lee 189<comma> Rabea 275<comma> Total of = 695 pounds.?",695
Steve Carbol,"668 lbs.?",668
Hampus S?derberg,"Cap: 77 kg Rob: 96 kg Bea: 114 kg so maybe about 633 pounds total?",633
Nathan J,"Hi there<comma> I'm guessing 672<comma>41pounds after conversion.?",672
Filip naja,"id say about 563 pounds?",563
Alessandro Macrina,"276 Kg --> 608<comma>5 pounds?",608
NAPLAVA,"i'll go with 666<comma>6 lbs. rock on guys. love your vids ??",666
aphichar,"I guess around 617.3 pounds.?",617
Eo Tunun,"683.42 lbs\nNo need to contradict an evil genius who carries around an enormous stern end himself.\nConfess!!1! ^^) I'm right!?",683
akwamarsunzal,"651lbs guys... :-)?",651
manhattanbynight,"612.78 lbs?",612
Lucas Kolberg,"709 lbs?",709
Nikola Stojanovi?,"Well<comma> I'm usually rather off when it comes to this<comma> but<comma> this would be my guess- 696.9 pounds. Just because.\n\n:)?",696
Ahmad Sleeq,"Id say 242 rabea 189 captain 231 rob for a total of 662 pounds.?",662
Jesper Broeckx,"I guess 590<comma>83 lbs?",590
BradleyWiltshire,"665 pound i reckon!?",665
grooni777,"Lee 152 pounds<comma> Rob 198 pounds<comma> Bea 222 pounds<comma> so summed up thats 572 pounds!?",572
00xanawolf00,"Greetings from across the pond<comma> my friends!\n\nI absolutely love these types of videos. Gear showcases<comma> lots of tasty improv riffage<comma> and excellent chemistry between all involved.\n\nI had this crazy idea that you guys could do a high production value/ highly polished t.v. show based on gear<comma> tone<comma> etc. Kind of a killer guitar player's Top Gear<comma> if you will.?",
J?r?my Ta,"Lee 68 kg<comma> Rob 80 kg<comma> Bea 95 kg?",
Jens K?hnel,"I reckon it's about 617.30 lbs :)?",617
Matthew,"670 pounds?",670
Gram901,"711 pounds?",711
CorpseButcher91,"I'd say about 292kg<comma> meaning 643<comma>75lbs.?",643
Jonas Henjum,"617 pounds?",617
Rapsodos,"I think that Captain is 165.3<comma> Rob is 216 and Rabea is 253<comma> making a total count of 634.3 Pounds! I hope that is some way accurate<comma> I would love to have one of those boards...?",634
Oscar tapia,"Lee =160 ..Rob =235\nBea =265 for a grand total of 660 lbs..?",660
muhd zulhakimi mohd bijuri (smosh),"601lbs?",601
Jessica Hicks,"I'm going to say 690lbs....Rock On Guys!!!!?",690
dumbleOseven,"598 pounds?",598
David Knox,"679 pounds?",679
Peter McKee,"combined  520.18 lbs?",520
Liam Maher,"632.6 pounds?",632
James Mackenzie,"550lbs?",550
daviesjsd,"693 lbs?",693
M0odez,"Capt: 76 kg<comma> Rob: 92kg<comma> Bea: 105kg = 273kg = 601 lbs?",601
Gabriele Mellia,"610<comma>68 pounds \m/?",610
Adam Smith,"672.6 pounds...?",672
40spinup,"My guess 631lbs.?",631
JDardy,"659lbs i reckon?",659
James Kuhnel,"757 lbs?",757
Coenie Ackermann,"630.52 lbs?",630
Gary Keller,"I say 658 pounds?",658
Patrick M,"I'd say 667 lbs total.?",667
???????? ???????,"My guess 275 kg = 606<comma>271 lb?",606
Luke's Worship Gear Reviews,"I would say total would be about 635 Lbs?",635
DankMeme69,"672 pounds?",672
summonzer,"634 pounds maybe??",634
Kenneth Flood,"622 lbs?",622
Logan Daiello,"combined 696 pounds?",696
Michael Todd,"a bit of a shot in the dark but what's to lose? I'd say about 564.3 lbs?",564
Bryan Knight,"630 lbs?",630
slipknot aap,"I think it's 621 lbs?",621
M?nagarmr,"650 pounds?",650
Rui Fazendeiro,"Cap 78 + Chappers 92 + Bea 112 = 282 kg = 621 Pounds !\nWish me luck...?",621
56madguy,"im gonna go with 616lbs total?",616
Ionu? Gu?avan,"672 pounds?",672
Essen Auf R?dern,"i'd say 617<comma>45 lbs?",617
Fran Grljusic,"lee 73 kg = 160.937 lbs\nchappers 87 kg = 191.802 lbs\nrabbea 102 kg = 224.872 lbs \n\ntotal 262 kg = 577.611 lbs \n hello from Croatia ;)?",937
Jimmy mts,"657 pounds?",657
Realistic potato,"600 punds?",600
John Johnson,"656.978lb?",656
EDAR96,"632 lbs?",632
Folkertkracht,"608.475 pounds!?",608
AlexReardon,"705 Ibs?",705
funkyadhesive,"lee = 76kg\nrob = 85kg\nbea = 120kg\n\n= 619.5lb?",619
Matt Elliott,"478 pounds?",478
Justin Kremer,"661 pounds total?",661
bobby presidente,"645 all together?",645
Mofobiscuits,"592lbs?",592
?rjan Tufte,"666 pounds! \m/?",666
Noak Westerberg,"My guess is 660 pounds!?",660
Andreas Skeidsvoll,"626.9 lbs!?",626
Rick Baksteen,"I'd say 70<comma> 90 and 105 kg<comma> for a total of:\n584 pounds?",584
MrUnderdog19,"My guess is 639 lbs?",639
Rutger Veltman,"610 pounds?",610
Harry Nicholson,"623lbs?",623
Eddy SkateMC,"I'd say 575.40?",575
Anders Nilsson,"Lee ~172\nRob ~209\nRabea ~245\n\nA grand total of 626 lbs. \nActually 666 lbs would have been cool<comma> but I?ll stick to the 626 lbs.?",626
Tom Birch,"586.8lbs?",586
Mister TROLOLOLOLOLOLOLOLOLO,"593 lb combined?",593
sam egli,"A cheeky 555.565 lbs?",555
NarrowboatFirefly,"I guess a combined weight of 651 lbs!?",651
Fab Le,"I guess 605 lbs?",605
I Think I'm Minimalistic,"I'd say 623lbs.?",623
Pontus Wallgren,"619<comma>5 pounds?",619
EsotericFallacies,"TOTAL: 602.5 pounds.\n\nGonna be getting angry messages from Family Fortunes now.?",602
Heath Irwin,"Total weight of all you guys i believe Is 310 kilograms\nWhich is 683.4pounds?",683
Niels Balling,"619 pounds.?",619
Hank Senpai,"I'd estimate 652lb?",652
ultra edi,"564.38 Pounds?",564
Niraj pun,"Rob(220)<comma> Lee(143)<comma> Bea(286). 649 pounds total.?",649
mfilipas,"The Canadian here is going to say... 637.6 lbs?",637
zombiecrew,"I would say 644lbs . i have no idea its a total guess?",644
Bryan  Cohen,"612 pounds?",612
Aaron O Leary,"I'd say somewhere around 686 pounds?",686
Brenton Bolderoff,"770lbs?",770
Jelmer Kosters,"735 lbs!?",735
Logan Jones,"I'd say 637 pounds altogether!?",637
327ewok,"690 pounds hope i get the pink floyd rig lee was sounding extra good on this one?",690
boyah188,"I'm no expert on weight but you must be 584.2 pounds exactly?",584
Old Channel,"687 lbs<comma> I need those pedals!?",687
viewitfulboe,"I think Rob is 225lbs<comma> Lee is 190lbs<comma> and Rabeea is 265lbs for a total weight of 680.?",680
Chick-fil-A,"713 pounds :)?",713
Matt Norris (supermatty),"I am going to guess 672 lbs combined?",672
Isaac Christian,"630lbs.?",630
